species	organ	disease	to_remove
isochrysis galbana	Cells	No	
juglans regia	Nuts	No	
juglans regia	Plant Leaves	No	
lactobacillales	Cells	No	
lactuca sativa	Plant Leaves	No	
lactuca sativa	Plant Roots	No	
lactuca sativa	Seeds	No	
lampsilis siliquoidea	Hemolymph	No	
lolium perenne	Plant Leaves	No	
lolium perenne	Plant Shoots	No	
lumbricus terrestris	Cell Extracts	No	
lumbricus terrestris	Tissues	No	
lycopersicon esculentum	Fruit	No	
lycopersicon esculentum	Xylem	No	
macaca mulatta	Colon	No	
macaca mulatta	Feces	No	
macaca mulatta	Intestines	No	
macaca mulatta	Liver	No	
macaca mulatta	Lung	No	
macaca mulatta	Plasma	No	
macaca mulatta	Serum	No	
malus x domestica	Fruit	No	
medicago truncatula	Plant Leaves	No	
medicago truncatula	Plant Roots	No	
meleagris gallopavo	Cecum	No	
meleagris gallopavo	Muscle, Skeletal	No	
mentha piperita	Plant Leaves	No	
mercenaria mercenaria	Animal Shells	No	
merizodus soledadinus	Tissues	No	
mesembryanthemum crystallinum	Trichomes	No	
mesocricetus auratus	CHO Cells	No	
mesocricetus auratus	Ovary	No	
metacarcinus magister	Tissues	No	
methylomonas denitrificans	Cells	No	
methylomonas denitrificans	Culture Media	No	
mirounga angustirostris	Plasma	No	
momordica cochinchinensis	Plant Leaves	No	
montipora capitata	Tissues	No	
morinda citrifolia	Fruit and Vegetable Juices	No	
mus musculus	Adipose Tissue	No	
mus musculus	Adipose Tissue, Brown	No	
mus musculus	Adipose Tissue, White	No	
mus musculus	Adrenal Glands	No	
mus musculus	Aorta	No	
mus musculus	Ascitic Fluid	No	
mus musculus	Bone Marrow	No	
mus musculus	Brain	No	
mus musculus	Bulbourethral Glands	No	
mus musculus	Cecum	No	
mus musculus	Cells	Neoplasms	
mus musculus	Cells	No	
mus musculus	Cells	Polycystic Kidney Diseases	
mus musculus	Cells	Prostatic Neoplasms	
mus musculus	Cerebellar Cortex	No	
mus musculus	Cerebellum	No	
mus musculus	Colon	No	
mus musculus	Corpus Striatum	No	
mus musculus	Culture Media	No	
mus musculus	Epithelial Cells	No	
mus musculus	Erythrocytes	No	
mus musculus	Esophagus	No	
mus musculus	Eye	No	
mus musculus	Feces	No	
mus musculus	Ganglia, Spinal	No	
mus musculus	Gastrointestinal Contents	No	
mus musculus	Heart	No	
mus musculus	Heart Ventricles	No	
mus musculus	Hep G2 Cells	No	
mus musculus	Heterografts	Neoplasms	
mus musculus	Hippocampus	No	
